,train,val,test
0,23G075065-001-1,24G099680-003-1,24G013161-001-1
1,23G075065-001-2,24G099680-003-2,24G013161-001-2
2,23G075065-001-3,24G099680-003-3,24G013161-001-3
3,23G075065-001-4,24G099680-003-4,24G013161-001-4
4,23G075065-001-5,24G016912-001-1,23G068252-002-1
5,23G075065-001-6,24G016912-001-2,23G068252-002-2
6,23G085500-001-1,24G016912-001-3,23G113311-001-1
7,23G085500-001-2,24G016912-001-4,23G113311-001-2
8,23G085500-001-3,25G084572-001-1,23G113311-001-3
9,23G085500-001-4,25G084572-001-2,23G113311-001-4
10,23G085500-001-5,25G084572-001-3,23G113311-001-5
11,23G092685-001-1,25G084572-001-4,23G113311-001-6
12,23G092685-001-2,24G037700-001-1,25G005067-002-1
13,23G092685-001-3,24G037700-001-2,25G005067-002-2
14,23G092685-001-4,24G037700-001-3,24G044299-002-1
15,23G100037-002-1,24G037700-001-4,24G044299-002-2
16,23G100037-002-2,25G027985-001-1,24G044299-002-3
17,23G100152-001-1,25G027985-001-2,24G044299-002-4
18,23G100152-001-2,25G027985-001-3,24G042860-003-1
19,23G100152-001-3,25G018780-001-1,24G042860-003-2
20,23G100152-001-4,25G018780-001-2,24G042860-003-3
21,23G109760-001-1,25G018780-001-3,24G042860-003-4
22,23G109760-001-2,25G018780-001-4,24G042860-003-5
23,23G109760-001-3,25G022288-002-1,24G042860-003-6
24,23G109760-001-4,25G022288-002-2,25G088475-001-1
25,23G116881-002-1,25G107269-002-1,25G088475-001-2
26,23G116881-002-2,25G107269-002-2,25G088475-001-3
27,23G116881-002-3,25G107269-002-3,25G088475-001-4
28,23G116881-003-1,25G107269-002-4,25G084601-001-1
29,23G116881-003-2,25G107269-002-5,25G084601-001-2
30,23G116881-003-3,,25G084601-001-3
31,23G116881-003-4,,25G084601-001-4
32,23G116881-003-5,,
33,23G116881-003-6,,
34,24G000715-001-1,,
35,24G000715-001-2,,
36,24G012954-001-1,,
37,24G012954-001-2,,
38,24G012954-001-3,,
39,24G012954-001-4,,
40,24G012954-001-5,,
41,24G012954-001-6,,
42,24G019106-001-1,,
43,24G019106-001-2,,
44,24G019106-001-3,,
45,24G019106-001-4,,
46,24G019106-001-5,,
47,24G021163-001-1,,
48,24G021163-001-2,,
49,24G021163-001-3,,
50,24G021163-001-4,,
51,24G031191-001-1,,
52,24G031191-001-2,,
53,24G031191-001-3,,
54,24G031191-001-4,,
55,24G038355-002-1,,
56,24G038355-002-2,,
57,24G054539-002-1,,
58,24G054539-002-2,,
59,24G069959-002-1,,
60,24G069959-002-2,,
61,24G069959-002-3,,
62,24G069959-002-4,,
63,24G070697-002-1,,
64,24G070697-002-2,,
65,24G070697-002-3,,
66,24G070697-002-4,,
67,24G094172-001-1,,
68,24G094172-001-2,,
69,24G094172-001-3,,
70,24G094172-001-4,,
71,24G103891-003-1,,
72,24G103891-003-2,,
73,24G103891-003-3,,
74,24G103891-003-4,,
75,24G103891-003-5,,
76,24G115797-002-1,,
77,24G115797-002-2,,
78,24G117782-003-1,,
79,24G117782-003-2,,
80,24G117782-003-3,,
81,24G117782-003-4,,
82,24G120277-004-1,,
83,24G120277-004-2,,
84,24G120277-004-3,,
85,24G120277-004-4,,
86,24G120277-004-5,,
87,24G121321-001-1,,
88,24G121321-001-2,,
89,24G121321-001-3,,
90,24G121321-001-4,,
91,24G121321-001D-1,,
92,24G121321-001D-2,,
93,24G121321-001D-3,,
94,24G121321-001D-4,,
95,24G121321-001D-5,,
96,24G121321-001D-6,,
97,24G124181-001-1,,
98,24G124181-001-2,,
99,24G124181-001-3,,
100,24G124181-001-4,,
101,24G125015-003-1,,
102,24G125015-003-2,,
103,24G125015-003-3,,
104,24G125015-003-4,,
105,25G008366-002-1,,
106,25G008366-002-2,,
107,25G008366-002-3,,
108,25G008366-002-4,,
109,25G008366-002-5,,
110,25G008366-003-1,,
111,25G008366-003-2,,
112,25G008366-003-3,,
113,25G008366-003-4,,
114,25G008366-003-5,,
115,25G008366-003-6,,
116,25G010990-002-1,,
117,25G010990-002-2,,
118,25G017036-001-1,,
119,25G017036-001-2,,
120,25G017036-001-3,,
121,25G017036-001-4,,
122,25G028295-001-1,,
123,25G028295-001-2,,
124,25G028295-001-3,,
125,25G028295-001-4,,
126,25G035789-001-1,,
127,25G035789-001-2,,
128,25G035789-001-3,,
129,25G035789-001-4,,
130,25G035789-002-1,,
131,25G035789-002-2,,
132,25G035789-002-3,,
133,25G035789-002-4,,
134,25G046033-002-1,,
135,25G046033-002-2,,
136,25G046033-002-3,,
137,25G046033-002-4,,
138,25G050827-001-1,,
139,25G050827-001-2,,
140,25G050827-001-3,,
141,25G050827-001-4,,
142,25G050827-001D-1,,
143,25G050827-001D-2,,
144,25G050827-001D-3,,
145,25G050827-001D-4,,
146,25G051075-001-1,,
147,25G051075-001-2,,
148,25G051075-001-3,,
149,25G051075-001-4,,
150,25G064241-001-1,,
151,25G064241-001-2,,
152,25G064241-002-1,,
153,25G064241-002-2,,
154,25G088548-001-1,,
155,25G088548-001-2,,
156,25G088548-001-3,,
157,25G088548-001-4,,
158,25G088548-001D-1,,
159,25G088548-001D-2,,
160,25G088548-001D-3,,
161,25G088548-001D-4,,
162,25G095565-001-1,,
163,25G095565-001-2,,
164,25G095565-001-3,,
165,25G095565-001-4,,
166,25G096905-001-1,,
167,25G096905-001-2,,
168,25G096905-001-3,,
169,25G098382-002-1,,
170,25G098382-002-2,,
171,25G098473-001-1,,
172,25G098473-001-2,,
173,25G098473-001-3,,
174,25G098473-001-4,,
175,25G120205-001-1,,
176,25G120205-001-2,,
177,25G120205-001-3,,
178,25G120205-001-4,,
179,23G104976-002-1,,
180,23G104976-002-2,,
181,24G002499-002-1,,
182,24G002499-002-2,,
183,24G011777-002-1,,
184,24G011777-002-2,,
185,24G011777-002-3,,
186,24G011777-002-4,,
187,24G011777-002-5,,
188,24G011777-002-6,,
189,24G011777-002-7,,
190,24G019386-001-1,,
191,24G019386-001-2,,
192,24G019386-001-3,,
193,24G019386-001-4,,
194,24G027094-001-1,,
195,24G027094-001-2,,
196,24G027094-001-3,,
197,24G027094-001-4,,
198,24G033428-001-1,,
199,24G033428-001-2,,
200,24G033428-001-3,,
201,24G033428-001-4,,
202,24G033428-001-5,,
203,24G072240-001-1,,
204,24G072240-001-2,,
205,24G072240-001-3,,
206,24G072240-001-4,,
207,24G075578-001-1,,
208,24G075578-001-2,,
209,24G075578-001-3,,
210,24G075578-001-4,,
211,24G075578-001-5,,
212,24G079991-001-1,,
213,24G079991-001-2,,
214,24G079991-001-3,,
215,24G079991-002-1,,
216,24G079991-002-2,,
217,24G079991-002-3,,
218,24G079991-002-4,,
219,24G087143-001-1,,
220,24G087143-001-2,,
221,24G087143-001-3,,
222,24G087143-001-4,,
223,24G087143-001-5,,
224,24G095750-001-1,,
225,24G095750-001-2,,
226,24G095750-001-3,,
